office_id,hitl_id,constituency,county,triage,status,proposed_lat,proposed_lng,final_lat,final_lng,method,confidence,pip_verified,cluster_peers,notes,applied
65,eee4cc96-2f9f-46f5-aadb-009983369b29,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
66,86cfaabb-bf9b-4351-a8c8-e11859e40cb2,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
67,dc1be870-7a4c-41ba-a22d-04cee8a4b3f1,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
68,a5be45c0-242e-4aef-9107-7f7c85826665,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
69,160ea4d8-4ee9-4755-a7b8-5ddc5c5fe02a,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
70,9cb4f156-fcbd-4899-820f-c75c7335efa6,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
71,6cba272e-147b-49ac-8c9a-d817c688c2a9,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
72,0725a50c-ebcf-4c40-bb25-74baf655d887,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
73,01862aa1-3895-44b0-90f2-4882a17326d4,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
74,c1ffba6d-de07-4caf-91a1-c8ec1cdab41b,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
75,dd7e20c1-615f-4ed6-90b3-0e325da1d539,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
76,675724d6-a866-4178-82e0-5f5e86589347,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
77,666d30c7-02c6-463e-a38b-3e413c0bd3c2,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
78,6b032e1a-093a-410a-932c-3b404fdaed89,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
79,0794106e-f910-4802-9683-5b30528f3d24,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
80,b349374f-daf6-4a3c-8773-d4d42a26a632,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
81,2237b6fe-783b-47f3-810d-0316cd4dcb07,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
82,9711878e-1049-4848-9ba7-706a4214b3a2,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
83,5bb29fae-1121-421e-9545-5b1f6979fb3d,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
84,69e55918-e42a-4419-aac9-6ba901cafe90,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
85,35a5db0a-c7d8-41ec-bf30-4e4417eb8ef1,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
86,1edff7fc-ef6e-415f-bc0c-72b110bcd832,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
87,7e38726f-6b87-4886-bf95-1a7942b3a16b,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
88,1e023356-ed51-4a18-9f55-498ab733b353,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
89,392c235c-4d2f-42a5-9f42-8ef92f22354e,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
90,6701b646-8dce-443b-976b-b5d9c5bb1139,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
91,836c4f11-a013-4850-ad0d-2db344c89dfc,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
92,6c53ddee-e201-4091-940d-f513aa22ae32,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
93,9692bb0d-c880-4b43-b278-c6c5bb549408,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
94,e0abd9e5-9124-4376-a966-32be0d95653d,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
95,01aef1c9-2c0d-480c-9031-a03f5c3ab3e3,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
96,0a87af40-d69d-4c6c-b358-3348762ca772,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
97,c6240052-8577-47ad-a7b2-3fec56b571ab,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
98,25d8647b-2994-4609-a221-99fb2a36fcf9,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
99,dcfdbd2f-251b-4c45-9cee-1883bf14188c,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
100,3f48aa07-d2c2-4c53-91c8-1d1d1b45e647,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
101,e5e87f3f-f187-492a-8539-4b5e23917180,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
102,3495a2de-0cc5-4001-97dd-76d0e9ab6f95,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
103,fbfc82cb-8699-45a5-9948-a6cf4be1947c,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
104,2a9da3b8-bc9c-4e0c-bdf1-c555799d4041,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
105,132cd5aa-0efb-467e-8615-5c121b3321c7,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
106,5d487197-7854-4b8b-9bdb-42f61eb8d83d,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
107,7288f61e-2456-47f1-9792-34409b78674f,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
108,d279adb0-5c24-4827-bd43-06a03dc84c18,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
109,da18b7e1-7da1-4c51-9aab-149ea2cfe027,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
110,27ad5109-ed22-4e50-969a-fd390a1cd73a,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
111,24f18997-e17e-4661-afb1-f201fdf2af56,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
112,46fae6ab-8b48-495f-bedd-6af3ad1de514,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
113,44b3e82a-238a-4494-95de-d16f20ad6a5c,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
114,16dea457-67f5-4784-a5ed-96e7c4155a0b,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
115,be1d9c6f-34ac-4bf2-a376-ae22276f1f58,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
