county,constituency_name,constituency,office_location,clean_office_location,landmark,source,created_at
Nyandarua,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Kinangop Elacy Trading Center First Floor North Kinangop Subcounty Headquarters 50 Meters,Kinangop Elacy Trading Center First Floor North Kinangop Subcounty Headquarters 50 Meters,Kipipiri Kipipiri Subcounty Headquaters Kipipiri Subcounty Headquaters Within,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.245420
Nyandarua,,,Ndaragwa Ndaragwa Township Next to Central Ward MCA Ndaragwa Police Station 50 to 100 Meters,Ndaragwa Ndaragwa Township Next to Central Ward MCA Ndaragwa Police Station 50 to 100 Meters,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.246855
Nyeri,Wamagana National Government Constituency Development,Wamagana National Government Constituency Development,Tetu Tetu Sub County Headquarters Deputy County Commissioner(DCC) Offices or Tetu 50 Meters,Tetu Tetu Sub County Headquarters Deputy County Commissioner(DCC) Offices or Tetu 50 Meters,Fund (NGCDF) Offices,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.248034
Kirinyaga,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Mwea County Council Offices Wanguru Wanguru Police Station 50 Metres,Mwea County Council Offices Wanguru Wanguru Police Station 50 Metres,Gichugu All Saints Kianyaga ACK Raimu Primary School 50 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.248034
Kirinyaga,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,County Office Professional Plaza 3rd Floor Judiciary Kerugoya High Court 50 Metres,County Office Professional Plaza 3rd Floor Judiciary Kerugoya High Court 50 Metres,Murang’a County,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.249794
Murang'a,,,Mukuyu Mukuyu,Mukuyu Mukuyu,"Kigumo Kangari Town East End Mall, Building, 3rd Floor. Kangari Town. Within Muungano Microfinance buidling",IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.250620
Murang'a,,,Mukuyu Mukuyu,Mukuyu Mukuyu,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.251621
Kiambu,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Gatundu South DCC Compound Gatundu Level 5 Hospital 100 Meters,Gatundu South DCC Compound Gatundu Level 5 Hospital 100 Meters,Gatundu North Kamwangi DCC Office Kamwangi Within DCC Office Compound,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.251621
Kiambu,,,Kiambaa Kiambaa Subcounty DCC Office Compoud Kiambaa Subcounty DCC Building (Orange) Afew Metres,Kiambaa Kiambaa Subcounty DCC Office Compoud Kiambaa Subcounty DCC Building (Orange) Afew Metres,Kabete Kabete Sub County Government Premises. Wangige Sub County Hospital 100 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.254278
Nairobi,,,mende Town At K-Unity Sacco Bulding On The,mende Town At K-Unity Sacco Bulding On The,First Floor Using Safaricom Shop Entrance.,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.255300
