ward_name,constituency,latitude,longitude
Athi River,Mavoko,-1.46275441366787,36.9493539253176
Kinanie,Mavoko,-1.49097268743413,37.0720654911311
Kibiri,Karachuonyo,-0.432910797070448,34.5563554385181
Kendu Bay Town,Karachuonyo,-0.388551154519898,34.6654203706027
Homa Bay West,Homa Bay Town,-0.590325195451837,34.4461594893321
Kanyamwa Kologi,Ndhiwa,-0.637053584634734,34.4110921291713
GEMBE,SUBA NORTH,-0.50183807687794,34.3021612059639
LAMBWE,SUBA NORTH,-0.548783934240581,34.3619687558141
GWASSI SOUTH,SUBA SOUTH,-0.705260859304775,34.156193058958
GWASSI NORTH,SUBA SOUTH,-0.653248110704407,34.1038547883226
Waberi,Garissa Township,-0.496140878695328,39.8107216017065
Balambala,Balambala,0.178202071830127,39.2006888000208
Danyere,Balambala,0.132080806526107,38.8432830980707
Saka,Balambala,-0.0437525404400657,39.3033136303001
Sankuri,Balambala,-0.203316973067576,39.6183155547287
Modogashe,Lagdera,0.562694916417994,39.0843467513138
Goreale,Lagdera,0.296459241975066,39.6763260765347
Changamwe,Changamwe,-4.01714016712602,39.6232020006538
Lugaga-Wamuluma,Vihiga,0.0667267196745353,34.6994481348486
Central Maragoli,Vihiga,0.0457020573468322,34.7181965558543
Lyaduywa/Izava,Sabatia,0.0946239211841962,34.7197298192701
West Sabatia,Sabatia,0.128187111407536,34.7262909943371
Nanighi,Fafi,-0.754173510221327,40.0999429782629
Hulugho,Ijara,-1.33864297185264,41.1514073133743
Sangailu,Ijara,-1.41847087812939,40.7527161326708
North Maragoli,Sabatia,0.092643125296665,34.7632975711877
Wodanga,Sabatia,0.103236247812085,34.7939527135756
Luanda Township,Luanda,0.0306461789116898,34.5978337607173
Wemilabi,Luanda,0.0534380363237185,34.6399787854092
Mwibona,Luanda,0.017599669827019,34.5628648448015
Malkagufu,Wajir North,2.63933340462301,39.4877088357808
Batalu,Wajir North,2.89235149036965,39.743412427232
Emabungo,Luanda,0.0201296403510086,34.6261392080007
Godoma,Wajir North,3.34827568218431,39.3596722134181
Central Bunyore,Emuhaya,0.0840580794164186,34.6112745921539
West Bunyore,Emuhaya,0.0734787358976784,34.5791730709263
Khorof/Harar,Wajir East,1.9556233312332,40.6863439923777
Elben,Tarbaj,2.66669734259133,40.2805457805208
Sarman,Tarbaj,2.62603663666228,39.9971826418333
Tarbaj,Tarbaj,2.05949399636833,40.0948534177304
Jomvu Kuu,Jomvu,-3.98764212200154,39.5965647050333
Mungoma,Vihiga,0.022698896344885,34.6638303325454
CHESIKAKI,MT. ELGON,0.805540183705197,34.5021840289957
CHEPYUK,MT. ELGON,0.863096488916044,34.5655609142478
ELGON,MT. ELGON,0.837843231711691,34.6954477605947
Kisa North,Khwisero,0.16670916330591,34.6282764917169
Nambale Township,Nambale,0.465835241841969,34.2533251881115
Bukhayo East,Nambale,0.483184541838615,34.3550925845434
Bukhayo Central,Nambale,0.427547052920389,34.3028050417628
Bukhayo West,Matayos,0.41636524638972,34.1499361177774
Rhamu,Mandera North,3.86048395516817,41.1939109499819
Elwak South,Mandera South,2.82915855921188,40.8519922813894
Arabia,Mandera East,3.63453339017121,41.5402625123649
Butiye,Moyale,3.42248918890443,38.9823813926387
Sololo,Moyale,3.55367065523457,38.6861939016155
HEILLU/MANYATTA,MOYALE,3.4989016607654,39.1119133083623
Golbo,Moyale,3.18236853977384,39.1350353323973
North Horr,North Horr,3.49482238264484,36.80513607563
Illeret,North Horr,4.10737405986935,36.4463997811717
Sagante/Jaldesa,Saku,2.34990465665759,38.0657240193747
